compound_id,smiles,n_confs,temperature_K,aq_psa3d,mem_psa3d,delta_psa3d,psa3d_std,psa3d_spread,bw_psa3d,norm_delta_psa,tpsa_2d,ensemble_energy,pop_lowest_pct,unique_confs,error
dA.pentyl_Gly.Me_dL.Nle.P.Mono34,CCCCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@H]2C(=O)N(CCCOC(C)C)CC(=O)N[C@H](C)C1=O,4633.0,298.15,88.2743,43.0523,45.222,10.4884,45.222,47.2586,0.04855,148.67,0.166,76.308,4633.0,
Pr_Gly.dL.Bn_Gly.P.Me_dL.F,CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,6876.0,298.15,85.7925,39.2577,46.5348,11.0508,46.5348,48.2269,0.047833,139.44,0.832,19.585,6876.0,
dP.Pr_Gly.L.meL.P.dL.F,CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,1545.0,298.15,73.8739,55.6465,18.2274,4.5121,18.2274,63.448,0.01797,168.54,0.34,65.518,1545.0,
Pr_Gly.meL.Bn_Gly.dP.Bn_Gly.F,CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C1=O,3585.0,298.15,93.8823,45.0496,48.8327,8.1768,48.8327,68.2294,0.050052,130.65,0.733,23.228,3585.0,
P.Me_dA.dL.meL.P.Me_dL.F,CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](C)C(=O)N[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N1C,2073.0,298.15,76.6979,46.6187,30.0792,5.4201,30.0792,61.1978,0.029928,159.75,0.22,73.595,2073.0,
A.meL.bHph.dP.dL.F,CC(C)C[C@H]1NC(=O)[C@H]2CCCN2C(=O)C[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C)NC(=O)[C@H](Cc2ccccc2)NC1=O,1378.0,298.15,93.5328,36.203,57.3298,13.2195,57.3298,63.3212,0.058528,157.01999999999998,1.013,10.162,1378.0,
dP.dL.dPye.dL.L.L,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CCC(=O)N2CCCC2)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC1=O,5315.0,298.15,112.2826,50.9018,61.3808,16.6878,61.3808,57.6478,0.060976,186.12,0.892,19.834,5315.0,
meA.meL.bHph.P.Me_dL.F,CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,3749.0,298.15,76.5595,32.8634,43.6961,10.1597,43.6961,43.7111,0.046202,139.44,0.461,3.896,3749.0,
dP.Me_dA.L.dL.dP.Me_dL.F,CC(C)C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)NC1=O,809.0,298.15,80.4119,55.7542,24.6577,4.936,24.6577,72.1838,0.025913,168.54,0.231,52.959,809.0,
Me_dA.Me_dL.bHph.P.dL.F,CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N(C)[C@H](C)C(=O)N1C,2280.0,298.15,76.5585,50.7324,25.8261,5.5953,25.8261,59.2467,0.027003,148.23000000000002,0.482,34.616,2280.0,
P.meA.L.Me_dL.dP.meL.F,CC(C)C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)N(C)C1=O,2515.0,298.15,81.1706,48.1381,33.0325,6.5239,33.0325,64.8641,0.032816,159.75,0.538,30.19,2515.0,
dP.bHph.L.meL.dP.meL.F,CC(C)C[C@@H]1NC(=O)C[C@H](Cc2ccccc2)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,3104.0,298.15,74.6244,37.0068,37.6176,8.1659,37.6176,57.6275,0.035355,168.54000000000002,0.438,61.685,3104.0,
P.Pr_Gly.dL.dL.dP.Bn_Gly.F,CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,2214.0,298.15,99.4617,66.8027,32.659,6.354,32.659,93.243,0.03196,168.54,0.401,31.402,2214.0,
dP.Pr_Gly.dL.meL.dP.dL.F,CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,3046.0,298.15,90.3447,55.3894,34.9553,8.7504,34.9553,60.7328,0.035751,168.54,0.417,61.444,3046.0,
dP.A.L.Bn_Gly.P.Me_dL.F,CC(C)C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)CN(Cc2ccccc2)C1=O,589.0,298.15,84.278,43.0559,41.2221,8.8595,41.2221,53.2474,0.041212,168.54000000000002,0.289,59.98,589.0,
bHph.dL.bHph.dP.meL.F,CC(C)C[C@H]1NC(=O)C[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C(=O)C[C@H](Cc2ccccc2)NC1=O,637.0,298.15,100.2332,49.5531,50.6801,8.723,50.6801,57.9268,0.048209,157.02,0.208,74.295,637.0,
A.MeOEt_Gly.meL.Nle.dP.Mono45,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CCOC)C(=O)[C@H](C)NC(=O)CN(Cc2ccccc2Cn2cccn2)C(=O)[C@H]2CCCN2C1=O,6921.0,298.15,104.737,55.3801,49.3569,13.0228,49.3569,64.5275,0.050628,166.49,1.037,6.448,6921.0,
Me_dA.Me_dL.Bn_Gly.P.dL.F,CC(C)C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N(C)[C@H](C)C(=O)N1C,962.0,298.15,76.4183,42.9653,33.453,7.2622,33.453,44.973,0.036068,139.44,0.301,64.626,962.0,
dP.meA.L.meL.P.L.F,CC(C)C[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,4736.0,298.15,97.1538,58.5132,38.6406,8.5337,38.6406,81.9345,0.039609,168.54,0.719,24.475,4736.0,
P.bHph.dL.bHph.dP.meL.F,CC(C)C[C@H]1NC(=O)C[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C(=O)C[C@H](Cc2ccccc2)NC1=O,1296.0,298.15,104.6349,54.9404,49.6945,11.2009,49.6945,64.772,0.044749,177.33,0.387,55.903,1296.0,
dP.Pr_Gly.dL.L.P.Bn_Gly.F,CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,2517.0,298.15,112.6955,58.6455,54.05,8.7961,54.05,89.3068,0.055152,168.54,0.585,27.965,2517.0,
dP.Pr_Gly.dL.Bn_Gly.P.dL.F,CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,2676.0,298.15,102.5381,53.844,48.6941,6.4435,48.6941,61.974,0.047987,168.54,0.457,38.226,2676.0,
dP.Me_dA.dL.Me_dL.dP.dL.F,CC(C)C[C@@H]1C(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](C)C(=O)N[C@H](CC(C)C)C(=O)N1C,2566.0,298.15,88.0947,54.9441,33.1506,7.616,33.1506,61.3946,0.034252,168.54000000000002,0.377,46.585,2566.0,
meA.Me_dL.bHph.dP.Me_dL.F,CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N1C,1307.0,298.15,62.8195,26.1033,36.7162,8.1679,36.7162,39.082,0.039139,139.44,0.467,35.022,1307.0,
dP.Pr_Gly.meL.bHph.dP.meL.F,CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,2368.0,298.15,75.6407,34.2636,41.3771,9.4046,41.3771,41.8502,0.040926,159.75,0.625,34.386,2368.0,
dP.Pr_Gly.L.L.dP.L.F,CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,3217.0,298.15,90.1117,60.9511,29.1606,4.8614,29.1606,73.7832,0.029171,177.32999999999998,0.221,73.874,3217.0,
P.dA.dL.Me_dL.P.dL.F,CC(C)C[C@@H]1C(=O)N2CCC[C@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@H](C)C(=O)N[C@H](CC(C)C)C(=O)N1C,6474.0,298.15,108.5482,42.9209,65.6273,17.5993,65.6273,67.17,0.06711,177.33,0.871,28.372,6474.0,
dP.dA.meL.Me_dL.dP.dL.F,CC(C)C[C@@H]1C(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N1C,3942.0,298.15,104.3648,40.6922,63.6726,13.5842,63.6726,53.6576,0.063122,168.54000000000002,0.304,63.08,3942.0,
dP.Me_dA.L.meL.dP.L.F,CC(C)C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,2503.0,298.15,84.6715,42.1651,42.5064,11.7603,42.5064,54.0941,0.044935,168.54,0.496,5.395,2503.0,
dP.dA.Bn_Gly.Me_dL.dP.Bn_Gly.F,CC(C)C[C@@H]1C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H](C)C(=O)N(Cc2ccccc2)CC(=O)N1C,1670.0,298.15,84.9779,48.424,36.5539,7.1975,36.5539,67.1608,0.0354,159.75,0.781,28.587,1670.0,
P.Me_dA.Me_dL.Bn_Gly.P.Bn_Gly.F,CC(C)C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](C)C(=O)N1C,467.0,298.15,84.8175,57.592,27.2255,6.3532,27.2255,65.3484,0.027025,150.96,0.507,35.042,467.0,
dP.dA.dL.dL.dP.Bn_Gly.F,CC(C)C[C@H]1NC(=O)[C@@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccccc2)C(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)NC1=O,470.0,298.15,94.4849,50.5104,43.9745,6.9864,43.9745,87.8247,0.046089,177.33,0.464,21.227,470.0,
L.meL.L.Sar.P.L.meL.L.Sar.P,CC(C)C[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)CN(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)CN(C)C1=O,4211.0,298.15,86.6296,60.1351,26.4945,5.4406,26.4945,73.2998,0.0234,238.26,1.349,6.37,4211.0,
dP.bHph.Bn_Gly.L.P.Me_dL.F,CC(C)C[C@@H]1NC(=O)CN(Cc2ccccc2)C(=O)C[C@H](Cc2ccccc2)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C1=O,2192.0,298.15,93.7568,50.7521,43.0047,7.4401,43.0047,65.3737,0.042071,168.54,0.469,37.366,2192.0,
dP.dA.Pye.dL.L.L,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCC(=O)N2CCCC2)NC(=O)[C@@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC1=O,1136.0,298.15,99.6166,58.4349,41.1817,6.0384,41.1817,72.215,0.046782,186.12,0.156,84.736,1136.0,
dP.Pr_Gly.meL.meL.P.Bn_Gly.F,CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,1770.0,298.15,72.9524,39.7646,33.1878,6.0434,33.1878,57.5089,0.032445,150.96,0.57,41.287,1770.0,
dP.bHph.dL.Bn_Gly.P.Bn_Gly.F,CC(C)C[C@H]1NC(=O)C[C@H](Cc2ccccc2)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccccc2)C(=O)[C@@H]2CCCN2C(=O)CN(Cc2ccccc2)C1=O,1509.0,298.15,89.9633,49.0052,40.9581,6.9817,40.9581,67.0239,0.037205,168.54000000000002,0.66,21.758,1509.0,
dP.dA.Bn_Gly.L.P.Bn_Gly.F,CC(C)C[C@@H]1NC(=O)CN(Cc2ccccc2)C(=O)[C@@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccccc2)C(=O)[C@@H]2CCCN2C1=O,1457.0,298.15,105.9616,58.3261,47.6355,10.065,47.6355,85.269,0.050235,168.54,0.609,45.647,1457.0,
P.Me_dA.Bn_Gly.dL.P.meL.F,CC(C)C[C@H]1NC(=O)CN(Cc2ccccc2)C(=O)[C@@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C1=O,5475.0,298.15,94.1599,55.7614,38.3985,7.7146,38.3985,67.9745,0.037893,159.75,0.563,36.943,5475.0,
A.dL.Me_dL.P.Bn_Gly.F,CC(C)C[C@@H]1C(=O)N2CCC[C@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C)C(=O)N[C@H](CC(C)C)C(=O)N1C,1609.0,298.15,74.9242,38.3077,36.6165,6.4809,36.6165,55.293,0.039871,148.23,0.586,18.101,1609.0,
dP.Me_dA.L.Bn_Gly.dP.meL.F,CC(C)C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C(=O)CN(Cc2ccccc2)C1=O,971.0,298.15,101.9198,52.2054,49.7144,5.8784,49.7144,72.1565,0.051492,159.75,0.4,25.627,971.0,
Nal.Mono41.meL.Nle.dP.Mono45,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CCCN2CCCC2=O)C(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)CN(Cc2ccccc2Cn2cccn2)C(=O)[C@H]2CCCN2C1=O,9514.0,298.15,113.0464,45.6016,67.4448,14.1407,67.4448,67.8107,0.060212,177.57,0.813,25.28,9514.0,
L.Me_dL.meL.L.dP.meA,CC(C)C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C1=O,2836.0,298.15,85.966,33.4184,52.5476,11.7673,52.5476,54.281,0.057526,139.44,0.553,35.241,2836.0,
dP.bHph.dL.Bn_Gly.dP.Bn_Gly.F,CC(C)C[C@H]1NC(=O)C[C@H](Cc2ccccc2)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccccc2)C(=O)[C@H]2CCCN2C(=O)CN(Cc2ccccc2)C1=O,779.0,298.15,80.8126,31.8309,48.9817,8.6891,48.9817,52.4839,0.045233,168.54000000000002,0.541,18.196,779.0,
Me_dA.L.meL.dP.dL.F,CC(C)C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,6326.0,298.15,85.3895,45.2033,40.1862,9.7874,40.1862,71.492,0.044082,148.23000000000002,0.611,39.995,6326.0,
P.Pr_Gly.Bn_Gly.meL.P.L.F,CCCN1CC(=O)N(Cc2ccccc2)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,4221.0,298.15,97.2901,52.6968,44.5933,8.3869,44.5933,88.2801,0.043012,159.75,0.502,56.329,4221.0,
P.A.Bn_Gly.Bn_Gly.P.meL.F,CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,2541.0,298.15,113.8707,61.1191,52.7516,9.7922,52.7516,94.7917,0.050826,159.75000000000003,0.753,8.069,2541.0,
dP.meA.meL.dL.P.Bn_Gly.F,CC(C)C[C@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccccc2)C(=O)[C@@H]2CCCN2C1=O,3572.0,298.15,98.6871,57.0209,41.6662,9.9413,41.6662,80.1411,0.041519,159.75,0.289,74.762,3572.0,
P.A.Me_dL.Bn_Gly.P.L.F,CC(C)C[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)CN(Cc2ccccc2)C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,854.0,298.15,93.6829,46.9683,46.7146,10.2845,46.7146,65.8892,0.049154,168.54,0.173,78.198,854.0,
P.meA.L.meL.dP.Bn_Gly.F,CC(C)C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccccc2)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,3533.0,298.15,106.3685,47.2489,59.1196,13.26,59.1196,61.6148,0.059717,159.75,0.693,14.073,3533.0,
L.dL.L.L.dP.Y,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC1=O,3776.0,298.15,110.7633,71.9929,38.7704,7.7564,38.7704,87.6798,0.04029,186.04,0.169,48.17,3776.0,
dA.dL.bHph.dP.L.F,CC(C)C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)C[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](C)NC(=O)[C@H](Cc2ccccc2)NC1=O,547.0,298.15,81.5196,41.5961,39.9235,9.8922,39.9235,54.8515,0.042274,165.81,0.36,63.015,547.0,
dP.A.dL.meL.dP.meL.F,CC(C)C[C@H]1NC(=O)[C@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,3436.0,298.15,79.2488,39.0167,40.2321,7.6162,40.2321,45.6169,0.041854,168.54000000000002,0.1,90.247,3436.0,
dA.dL.L.dP.Bn_Gly.F,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](C)NC(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccccc2)C(=O)[C@H]2CCCN2C1=O,808.0,298.15,117.5652,48.6506,68.9146,10.1751,68.9146,77.1284,0.075276,157.02,0.299,41.164,808.0,
dP.meA.Me_dL.Bn_Gly.P.meL.F,CC(C)C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](C)C(=O)N1C,2488.0,298.15,82.6963,40.3122,42.3841,7.6356,42.3841,53.1848,0.040659,150.96,0.446,38.151,2488.0,
dL.dL.L.dL.P.Ala(indol-2-yl),CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc2cc3ccccc3[nH]2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)NC1=O,2552.0,298.15,77.3263,56.2012,21.1251,4.2011,21.1251,66.8191,0.021303,181.6,0.456,25.059,2552.0,
P.meA.Me_dL.L.dP.Bn_Gly.F,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccccc2)C(=O)[C@H]2CCCN2C1=O,1735.0,298.15,104.226,49.414,54.812,15.2691,54.812,57.5608,0.054731,159.75,0.196,82.783,1735.0,
F.pentyl_Gly.dL.Nle.dP.Mono1,CCCCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccc3c(c2)OCO3)CC(=O)N[C@@H](Cc2ccccc2)C1=O,8493.0,298.15,135.7598,94.0322,41.7276,9.7606,41.7276,117.9936,0.040259,166.69,0.866,18.053,8493.0,
dP.bHph.meL.bHph.P.Bn_Gly.F,CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](Cc2ccccc2)CC(=O)N1C,861.0,298.15,88.9575,50.1609,38.7966,7.361,38.7966,63.2552,0.036032,168.54,0.402,36.719,861.0,
P.Pr_Gly.meL.dL.P.L.F,CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,4833.0,298.15,100.7294,33.5377,67.1917,13.8872,67.1917,62.063,0.067793,168.54,0.386,50.781,4833.0,
dP.Me_dA.L.bHph.P.Me_dL.F,CC(C)C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)C[C@H](Cc2ccccc2)NC1=O,792.0,298.15,89.77,55.6746,34.0954,7.9267,34.0954,78.9851,0.034084,168.54,0.424,57.041,792.0,
dP.A.L.L.P.L.F,CC(C)C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC1=O,2032.0,298.15,104.381,51.7304,52.6506,9.5442,52.6506,73.4223,0.057075,186.12,0.127,86.124,2032.0,
P.A.L.Bn_Gly.P.Me_dL.F,CC(C)C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)CN(Cc2ccccc2)C1=O,1972.0,298.15,109.9066,55.5398,54.3668,12.4054,54.3668,70.638,0.053631,168.54000000000002,0.304,54.504,1972.0,
Pr_Gly.Me_dL.Me_dL.dP.Bn_Gly.F,CCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C1=O,3421.0,298.15,78.9811,40.0392,38.9419,7.1826,38.9419,59.2953,0.041036,130.65,0.458,30.676,3421.0,
P.meA.L.Me_dL.P.L.F,CC(C)C[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,3081.0,298.15,96.1441,50.0966,46.0475,10.7372,46.0475,58.4122,0.048687,168.54,0.596,32.417,3081.0,
meA.meL.bHph.P.dL.F,CC(C)C[C@H]1NC(=O)[C@@H]2CCCN2C(=O)C[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccccc2)NC1=O,1085.0,298.15,74.3767,31.1245,43.2522,9.581,43.2522,58.9946,0.044686,148.23,0.57,18.36,1085.0,
